token,category,buildable,template_file,curation_status,source,structure_convention,attachment_chemistry
AEEA,linker,True,pepforge_structure_tool/data/templates/AEEA.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
Abu,non_natural_aa,True,pepforge_structure_tool/data/templates/Abu.sdf,explicit_residue_graph,explicit_residue_fragment,,
Ahx,linker,True,pepforge_structure_tool/data/templates/Ahx.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
Aib,non_natural_aa,True,pepforge_structure_tool/data/templates/Aib.sdf,explicit_residue_graph,explicit achiral amino-acid graph,2-aminoisobutyric acid,
Alexa488,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Alexa555,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Alexa647,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Alkyne,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Azide,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
BHQ1,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
BHQ2,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
BODIPY,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Biotin,label,True,pepforge_structure_tool/data/templates/Biotin.sdf,verified_database_structure_and_explicit_amide_rule,PubChem CID 171548 (biotin); peptide-bound amide rule,biotin,biotin carboxyl -> peptide/linker primary amine; amide
BiotinCap,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Bz,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Caf,chemical,True,pepforge_structure_tool/data/templates/Caf.sdf,buildable_only_as_explicit_N_terminal_or_sidechain_acyl,explicit_acyl_attachment_rule,,acylation of primary amine
Cha,non_natural_aa,True,pepforge_structure_tool/data/templates/Cha.sdf,explicit_residue_graph,PubChem CID 712421,3-cyclohexyl-L-alanine,
Chol,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Cit,non_natural_aa,True,pepforge_structure_tool/data/templates/Cit.sdf,explicit_residue_graph,explicit alpha-amino-acid graph,L-citrulline,
Cy3,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Cy5,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Cy5.5,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Cy7,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
DBCO,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
DFO,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
DOTA,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Dab,non_natural_aa,True,pepforge_structure_tool/data/templates/Dab.sdf,explicit_residue_graph,PubChem CID 134490 convention,"L-2,4-diaminobutyric acid",
Dabcyl,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Dansyl,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Dap,non_natural_aa,True,pepforge_structure_tool/data/templates/Dap.sdf,explicit_residue_graph,explicit_residue_fragment,,
Dde,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Desthiobiotin,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
EDANS,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
FAM,label,True,pepforge_structure_tool/data/templates/FAM.sdf,verified_database_structure_and_explicit_amide_rule,PubChem CID 123755 (5-carboxyfluorescein); explicit Pepforge 5-FAM convention,5-FAM,5-FAM carboxyl -> peptide/linker primary amine; amide
FITC,label,True,pepforge_structure_tool/data/templates/FITC.sdf,verified_database_structure_and_explicit_thiourea_rule,PubChem CID 18730 (fluorescein 5-isothiocyanate),5-FITC,5-FITC isothiocyanate -> peptide/linker primary amine; thiourea
Gal,chemical,True,pepforge_structure_tool/data/templates/Gal.sdf,buildable_only_as_explicit_N_terminal_or_sidechain_acyl,explicit_acyl_attachment_rule,,acylation of primary amine
Hyp,non_natural_aa,True,pepforge_structure_tool/data/templates/Hyp.sdf,explicit_residue_graph,PubChem CID 5810,"trans-4-hydroxy-L-proline (2S,4R)",
Lau,chemical,True,pepforge_structure_tool/data/templates/Lau.sdf,buildable_only_as_explicit_N_terminal_or_sidechain_acyl,explicit_acyl_attachment_rule,,acylation of primary amine
Mal,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Maleimide,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Myr,chemical,True,pepforge_structure_tool/data/templates/Myr.sdf,buildable_only_as_explicit_N_terminal_or_sidechain_acyl,explicit_acyl_attachment_rule,,acylation of primary amine
NBD,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
NOTA,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Nal,non_natural_aa,True,pepforge_structure_tool/data/templates/Nal.sdf,explicit_residue_graph,PubChem CID 2724883,1-naphthyl-L-alanine (1-Nal),
Nic,chemical,True,pepforge_structure_tool/data/templates/Nic.sdf,buildable_only_as_explicit_N_terminal_or_sidechain_acyl,explicit_acyl_attachment_rule,,acylation of primary amine
Nle,non_natural_aa,True,pepforge_structure_tool/data/templates/Nle.sdf,explicit_residue_graph,explicit alpha-amino-acid graph,L-norleucine,
Nva,non_natural_aa,True,pepforge_structure_tool/data/templates/Nva.sdf,explicit_residue_graph,explicit_residue_fragment,,
Ole,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
